ARTIST_ID,ARTIST_MDA,START_LETTER
703,"Bauchant, André",B
704,"Bauer, Marius",B
705,"Baumeister, Willi",B
706,"Baumgarten, Lothar",B
707,"Bawden, Edward",B
708,"Bawden, Richard",B
709,"Baxter, Glen",B
710,"Baxter, Iain",B
2413,"Baxter, Thomas Tennant",B
711,"Bayer, Herbert",B
712,"Bayes, Gilbert",B
713,"Bayes, Walter",B
6275,"Baynard, Ed",B
714,"Baziotes, William",B
27,"Beach, Thomas",B
2306,"Beale, Mary",B
715,"Beament, Tib",B
2705,"Beard, John",B
716,"Beardsley, Aubrey",B
28,"Beare, George",B
717,"Beattie, Basil",B
29,"Beaumont, Sir George Howland, Bt",B
10983,"Beban, Breda",B
718,"Becher, Prof. Bernd",B
2557,"Becker, Ferdinand",B
719,"Becker, Harald",B
6303,"Beckley, Bill",B
720,"Beckmann, Max",B
9118,"Bedia, Jose",B
30,"Beechey, Sir William",B
721,"Beer, Richard",B
722,"Beerbohm, Sir Max",B
723,"Beeton, Alan",B
724,"Beggs, Guy",B
31,"Behnes, William",B
725,"Belcher, George",B
11822,"Belhaj-Kacem, Mehdi",B
726,"Bell, Graham",B
32,"Bell, John Zephaniah",B
727,"Bell, Larry",B
728,"Bell, Laura Anning",B
729,"Bell, Robert Anning",B
730,"Bell, Trevor",B
731,"Bell, Vanessa",B
732,"Bellany, John",B
733,"Bellegarde, Claude",B
735,"Bellingham-Smith, Elinor",B
736,"Bellmer, Hans",B
2618,"Belloguet, A.",B
2549,"Benazech, Peter Paul",B
18264,"Bendix Skyum Larsen, Nikolaj",B
7290,"Benglis, Lynda",B
737,"Benjamin, Anthony",B
33,"Bennett, William",B
738,"Benois, Alexander",B
739,"Benois, Nadia",B
2240,"Benrath, Frédéric",B
740,"Benson, Abraham Harris",B
741,"Béraud, Jean",B
742,"Berber, Mersad",B
743,"Berg, Adrian",B
18242,"Bergvall, Caroline",B
2481,"Berkeley, Rev C J R",B
744,"Berman, Eugène",B
