id,accession_number,artist,artistId,title,dateText,creditLine,year,dimensions,width,height,depth,units,inscription,thumbnailUrl
1035,A00001,"Blake, Robert",38,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,,Presented by Mrs John Richmond 1922,,support: 394 x 419 mm,394,419,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00001_8.jpg
1036,A00002,"Blake, Robert",38,"Two Drawings of Frightened Figures, Probably for 'The Approach of Doom'",,Presented by Mrs John Richmond 1922,,support: 311 x 213 mm,311,213,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00002_8.jpg
1037,A00003,"Blake, Robert",38,"The Preaching of Warning. Verso: An Old Man Enthroned between Two Groups of Figures, by ?William Blake",?c.1785,Presented by Mrs John Richmond 1922,1785,support: 343 x 467 mm,343,467,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00003_8.jpg
1038,A00004,"Blake, Robert",38,Six Drawings of Figures with Outstretched Arms,,Presented by Mrs John Richmond 1922,,support: 318 x 394 mm,318,394,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00004_8.jpg
1039,A00005,"Blake, William",39,The Circle of the Lustful: Francesca da Rimini ('The Whirlwind of Lovers'),"1826-7, reprinted 1892","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,image: 243 x 335 mm,243,335,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00005_8.jpg
1040,A00006,"Blake, William",39,Ciampolo the Barrator Tormented by the Devils,"1826-7, reprinted 1892","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,image: 240 x 338 mm,240,338,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00006_8.jpg
1041,A00007,"Blake, William",39,The Baffled Devils Fighting,"1826-7, reprinted 1892","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,image: 242 x 334 mm,242,334,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00007_8.jpg
1042,A00008,"Blake, William",39,The Six-Footed Serpent Attacking Agnolo Brunelleschi,"1826-7, reprinted 1892","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,image: 246 x 340 mm,246,340,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00008_8.jpg
1043,A00009,"Blake, William",39,The Serpent Attacking Buoso Donati,"1826-7, reprinted 1892","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,image: 241 x 335 mm,241,335,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00009_8.jpg
1044,A00010,"Blake, William",39,The Pit of Disease: The Falsifiers,"1826-7, reprinted 1892","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,image: 243 x 340 mm,243,340,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00010_8.jpg
1045,A00011,"Blake, William",39,Dante Striking against Bocca Degli Abati,"1826-7, reprinted 1892","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1826,image: 236 x 340 mm,236,340,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00011_8.jpg
1046,A00012,"Blake, William",39,Job and his Family,"1828, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1828,image: 184 x 150 mm,184,150,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00012_8.jpg
1047,A00013,"Blake, William",39,Satan before the Throne of God,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 197 x 151 mm,197,151,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00013_8.jpg
1048,A00014,"Blake, William",39,Job's Sons and Daughters Overwhelmed by Satan,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 197 x 153 mm,197,153,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00014_8.jpg
1049,A00015,"Blake, William",39,The Messengers tell Job of his Misfortunes,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 200 x 152 mm,200,152,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00015_8.jpg
1050,A00016,"Blake, William",39,"Satan Going Forth from the Presence of the Lord, and Job's Charity","1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 198 x 152 mm,198,152,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00016_8.jpg
1051,A00017,"Blake, William",39,Satan Smiting Job with Sore Boils,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 198 x 153 mm,198,153,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00017_8.jpg
1052,A00018,"Blake, William",39,Job's Comforters,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 198 x 153 mm,198,153,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00018_8.jpg
1053,A00019,"Blake, William",39,Job's Despair,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the Art Fund 1919",1825,image: 199 x 150 mm,199,150,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00019_8.jpg
1054,A00020,"Blake, William",39,The Vision of Eliphaz,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 198 x 152 mm,198,152,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00020_8.jpg
1055,A00021,"Blake, William",39,Job Rebuked by his Friends,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 198 x 152 mm,198,152,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00021_8.jpg
1056,A00022,"Blake, William",39,Job's Evil Dreams,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 197 x 152 mm,197,152,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00022_8.jpg
1057,A00023,"Blake, William",39,The Wrath of Elihu,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 200 x 151 mm,200,151,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00023_8.jpg
1058,A00024,"Blake, William",39,The Lord Answering Job out of the Whirlwind,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 198 x 151 mm,198,151,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00024_8.jpg
1059,A00025,"Blake, William",39,When the Morning Stars Sang Together,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 191 x 150 mm,191,150,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00025_8.jpg
1060,A00026,"Blake, William",39,Behemoth and Leviathan,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 200 x 151 mm,200,151,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00026_8.jpg
1061,A00027,"Blake, William",39,The Fall of Satan,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 186 x 150 mm,186,150,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00027_8.jpg
1062,A00028,"Blake, William",39,The Vision of Christ,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 200 x 151 mm,200,151,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00028_8.jpg
1063,A00029,"Blake, William",39,Job's Sacrifice,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 198 x 150 mm,198,150,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00029_8.jpg
1064,A00030,"Blake, William",39,Every Man also Gave him a Piece of Money,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 197 x 150 mm,197,150,,mm,,
1065,A00031,"Blake, William",39,Job and his Daughters,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825,image: 199 x 151 mm,199,151,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00031_8.jpg
1066,A00032,"Blake, William",39,Job and his Family Restored to Prosperity,"1825, reprinted 1874","Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the Art Fund 1919",1825,image: 196 x 149 mm,196,149,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00032_8.jpg
1067,A00033,"Blake, William",39,Sketch for 'The Four and Twenty Elders Casting their Crowns before the Divine Throne'. Verso: Standing Figure with Arms at his Side,"c.1803, c.1805-10",Presented by Mrs John Richmond 1922,1803,support: 488 x 389 mm,488,389,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00033_8.jpg
1068,A00034,"Blake, William",39,'Europe': Fragment of Pages 3 and 4,1794/c.1830-5,Presented by Mrs John Richmond 1922,1794,support: 92 x 166 mm,92,166,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00034_8.jpg
1069,A00035,"Blake, William",39,Songs of Innocence and of Experience: Infant Sorrow,"1794, reprinted 1831 or later",Presented by Mrs John Richmond 1922,1794,image: 112 x 97 mm,112,97,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00035_8.jpg
1070,A00036,"Blake, William",39,'Songs of Innocence and of Experience': 'Infant Sorrow',"1794, reprinted 1831 or later",Presented by Mrs John Richmond 1922,1794,image: 112 x 97 mm,112,97,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00036_8.jpg
1071,A00037,"Blake, William",39,'Songs of Innocence and of Experience': 'Spring',"1794, reprinted 1831 or later",Presented by Mrs John Richmond 1922,1794,image: 115 x 79 mm,115,79,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00037_8.jpg
1072,A00038,"Blake, William",39,'Songs of Innocence': Title-Page,"1789, reprinted 1831 or later",Presented by Mrs John Richmond 1922,1789,image: 120 x 64 mm,120,64,,mm,,
1073,A00039,"Blake, William",39,'Songs of Innocence': Title-Page,"1789, reprinted 1831 or later",Presented by Mrs John Richmond 1922,1789,image: 120 x 64 mm,120,64,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00039_8.jpg
1074,A00040,"Blake, William",39,Sketch for 'Tiriel Supporting the Dying Myratana'. Verso: Sketch for 'Tiriel Supporting the Dying Myratana',c.1786-9,Presented by Mrs John Richmond 1922,1786,support: 291 x 450 mm,291,450,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00040_8.jpg
1075,A00041,"Blake, William",39,Landscape near Felpham,c.1800,Presented by Mrs John Richmond 1922,1800,support: 237 x 343 mm,237,343,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00041_8.jpg
1076,A00042,"Blake, William",39,Two Figures in a Decorative Border,c.1790,Presented by Mrs John Richmond 1922,1790,support: 122 x 203 mm,122,203,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00042_8.jpg
1077,A00043,"Blake, William",39,Preliminary Sketch for 'Christ Girding Himself with Strength'. Verso: Standing Figure with One Arm Raised,"c.1805, c.1805-10",Presented by Mrs John Richmond 1922,1805,support: 505 x 425 mm,505,425,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00043_8.jpg
1078,A00044,"Blake, William",39,Lower Half of a Woman Playing a Harp. Verso: Seraphim and Other Drawings,"c.1785, c.?1807",Presented by Mrs John Richmond 1922,1785,support: 268 x 450 mm,268,450,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00044_8.jpg
1079,A00045,"Blake, William",39,"St Christopher, Copy from an Engraving? Verso:Part of a Face: Copy from a Plaster Cast: a Daughter of Niobe?",?c.1779-80,Presented by Mrs John Richmond 1922,1779,support: 435 x 338 mm,435,338,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00045_8.jpg
1080,A00046,"Blake, William",39,The Crucifixion,c.1825-7,Presented by Mrs John Richmond 1922,1825,support: 432 x 276 mm,432,276,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00046_8.jpg
1081,A00047,"Blake, William",39,"Composition Sketch, Possibly a Subject from Dante. Verso: A Man Standing over a Figure Reclining on a Bed","?1824-7, ?c.1800-10",Presented by Mrs John Richmond 1922,1800,support: 454 x 339 mm,454,339,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00047_8.jpg
1082,A00048,"Blake, William",39,Composition Sketch. Verso: Standing Figure Holding a Spear,?c.1805-10,Presented by Mrs John Richmond 1922,1805,support: 508 x 370 mm,508,370,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00048_8.jpg
1083,A00049,"Blake, William",39,Composition Sketch for 'The Fall of the Rebel Angels'? Verso: Standing Figure with Flaming Hair,?c.1805-10,Presented by Mrs John Richmond 1922,1805,support: 502 x 425 mm,502,425,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00049_8.jpg
1183,A00050,"Richmond, George",447,Tracing of Title-Page of Blake's 'Book of Job',?c.1826,Presented by Mrs John Richmond 1922,1826,support: 214 x 157 mm,214,157,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00050_8.jpg
1505,A00051,British School 18th century,59,[title not known],,Bequeathed by Miss Julia Emily Gordon 1896,,,,,,,,
1506,A00052,British School 18th century,59,[title not known],,Bequeathed by Miss Julia Emily Gordon 1896,,,,,,,,
1507,A00053,British School 18th century,59,[title not known],,Bequeathed by Miss Julia Emily Gordon 1896,,,,,,,,
1508,A00054,British School 18th century,59,[title not known],,Bequeathed by Miss Julia Emily Gordon 1896,,,,,,,,
1509,A00055,British School 18th century,59,[title not known],,Bequeathed by Miss Julia Emily Gordon 1896,,,,,,,,
1510,A00056,British School 18th century,59,[title not known],,Bequeathed by Miss Julia Emily Gordon 1896,,,,,,,,
1695,A00057,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Woman's Head,1870,Bequeathed by A.N. MacNicholl 1916,1870,support: 203 x 184 mm,203,184,,mm,date inscribed,http://www.tate.org.uk/art/images/work/A/A00/A00057_8.jpg
1696,A00058,"Burne-Jones, Sir Edward Coley, Bt",68,"Study of a Sleeping Woman's Head, possibly for 'The Rose Bower' in the 'Briar Rose' Series",c.1871-3,Bequeathed by A.N. MacNicholl 1916,1871,support: 274 x 222 mm,274,222,,mm,date inscribed,http://www.tate.org.uk/art/images/work/A/A00/A00058_8.jpg
1697,A00059,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Man's Head,1866,Bequeathed by A.N. MacNicholl 1916,1866,support: 222 x 171 mm,222,171,,mm,date inscribed,http://www.tate.org.uk/art/images/work/A/A00/A00059_8.jpg
1698,A00060,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Girl's Head,1866,Bequeathed by A.N. MacNicholl 1916,1866,support: 260 x 216 mm,260,216,,mm,date inscribed,http://www.tate.org.uk/art/images/work/A/A00/A00060_8.jpg
1699,A00061,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Standing Woman for 'The Passing of Venus',1877,Bequeathed by A.N. MacNicholl 1916,1877,support: 269 x 179 mm,269,179,,mm,date inscribed,http://www.tate.org.uk/art/images/work/A/A00/A00061_8.jpg
1700,A00062,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Seated Woman for 'The Passing of Venus',c.1877,Bequeathed by A.N. MacNicholl 1916,1877,support: 261 x 225 mm,261,225,,mm,date inscribed,http://www.tate.org.uk/art/images/work/A/A00/A00062_8.jpg
1701,A00063,"Burne-Jones, Sir Edward Coley, Bt",68,Study of Seated Figure for 'The Garden Court' in the 'Briar Rose' Series,c.1873,Bequeathed by A.N. MacNicholl 1916,1873,support: 126 x 180 mm,126,180,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00063_8.jpg
1702,A00064,"Burne-Jones, Sir Edward Coley, Bt",68,Study of Seated Figure for 'The Garden Court' in the 'Briar Rose' Series,c.1873,Bequeathed by A.N. MacNicholl 1916,1873,support: 126 x 179 mm,126,179,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00064_8.jpg
1703,A00065,"Burne-Jones, Sir Edward Coley, Bt",68,Figure Study for 'The Rose Bower' (Briar Rose Series). Verso: Study of the Head of Merlin for 'The Beguiling of Merlin',c.1872-7,Bequeathed by A.N. MacNicholl 1916,1872,support: 212 x 235 mm,212,235,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00065_8.jpg
1704,A00066,"Burne-Jones, Sir Edward Coley, Bt",68,Three Studies for 'The Beguiling of Merlin',c.1872-7,Bequeathed by A.N. MacNicholl 1916,1872,support: 323 x 222 mm,323,222,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00066_8.jpg
1705,A00067,"Burne-Jones, Sir Edward Coley, Bt",68,Studies of a Sleeve,,Bequeathed by A.N. MacNicholl 1916,,support: 244 x 152 mm,244,152,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00067_8.jpg
1706,A00068,"Burne-Jones, Sir Edward Coley, Bt",68,Kneeling Woman,,Presented by Lord Duveen 1924,,support: 152 x 165 mm,152,165,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00068_8.jpg
1707,A00069,"Burne-Jones, Sir Edward Coley, Bt",68,Stooping Woman,,Presented by Lord Duveen 1924,,support: 152 x 165 mm,152,165,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00069_8.jpg
1708,A00070,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Female Head for 'The Hours',c.1872,Presented by Lord Duveen 1925,1872,support: 146 x 149 mm,146,149,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00070_8.jpg
1709,A00071,"Burne-Jones, Sir Edward Coley, Bt",68,Female Head,,Presented by Lord Duveen 1925,,support: 146 x 149 mm,146,149,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00071_8.jpg
1710,A00072,"Burne-Jones, Sir Edward Coley, Bt",68,Ruth and Boaz,1879,Bequeathed by J.R. Holliday 1927,1879,support: 645 x 518 mm,645,518,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00072_8.jpg
1711,A00073,"Burne-Jones, Sir Edward Coley, Bt",68,The Finding of Moses,1879,Bequeathed by J.R. Holliday 1927,1879,support: 647 x 518 mm,647,518,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00073_8.jpg
1712,A00074,"Burne-Jones, Sir Edward Coley, Bt",68,St Alban,1875,Bequeathed by J.R. Holliday 1927,1875,support: 730 x 398 mm,730,398,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00074_8.jpg
1713,A00075,"Burne-Jones, Sir Edward Coley, Bt",68,St Aidan,1875,Bequeathed by J.R. Holliday 1927,1875,support: 730 x 400 mm,730,400,,mm,,
1714,A00076,"Burne-Jones, Sir Edward Coley, Bt",68,St Oswald,1875,Bequeathed by J.R. Holliday 1927,1875,support: 730 x 400 mm,730,400,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00076_8.jpg
1715,A00077,"Burne-Jones, Sir Edward Coley, Bt",68,St Boniface,1875,Bequeathed by J.R. Holliday 1927,1875,support: 731 x 400 mm,731,400,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00077_8.jpg
1716,A00078,"Burne-Jones, Sir Edward Coley, Bt",68,Study of the Head of Tristram for 'The Madness of Sir Tristram',c.1862,Bequeathed by J.R. Holliday 1927,1862,support: 101 x 131 mm,101,131,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00078_8.jpg
1717,A00079,"Burne-Jones, Sir Edward Coley, Bt",68,Two Studies of Tristram for 'The Madness of Sir Tristram',c.1862,Bequeathed by J.R. Holliday 1927,1862,support: 207 x 241 mm,207,241,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00079_8.jpg
1718,A00080,"Burne-Jones, Sir Edward Coley, Bt",68,Roundel with the Head of a Warrior,c.1870-5,Bequeathed by J.R. Holliday 1927,1870,"support, circular: 224 x 224 mm",circular:,224,224,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00080_8.jpg
1719,A00081,"Burne-Jones, Sir Edward Coley, Bt",68,Roundel with the Head of a Woman,c.1870-5,Bequeathed by J.R. Holliday 1927,1870,"support, circular: 223 x 223 mm",circular:,223,223,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00081_8.jpg
1720,A00082,"Burne-Jones, Sir Edward Coley, Bt",68,Roundel with the Head of a Woman,c.1870-5,Bequeathed by J.R. Holliday 1927,1870,"support, circular: 225 x 225 mm",circular:,225,225,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00082_8.jpg
1721,A00083,"Burne-Jones, Sir Edward Coley, Bt",68,Composition Study for 'The Merciful Knight'. Verso: Study for a Nativity,c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 252 x 153 mm,252,153,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00083_8.jpg
20228,A00084,"Burne-Jones, Sir Edward Coley, Bt",68,Composition Study for 'The Merciful Knight'. Verso: Composition Study for 'St Valentine's Day',c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 258 x 178 mm,258,178,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00084_8.jpg
1722,A00085,"Burne-Jones, Sir Edward Coley, Bt",68,Composition Study for 'The Merciful Knight',c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 222 x 157 mm,222,157,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00085_8.jpg
1723,A00086,"Burne-Jones, Sir Edward Coley, Bt",68,Nude Study of Knight for 'The Merciful Knight',c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 298 x 133 mm,298,133,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00086_8.jpg
1724,A00087,"Burne-Jones, Sir Edward Coley, Bt",68,Nude Study of the Knight for 'The Merciful Knight',c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 330 x 143 mm,330,143,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00087_8.jpg
1725,A00088,"Burne-Jones, Sir Edward Coley, Bt",68,Study of Knight for 'The Merciful Knight',c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 248 x 175 mm,248,175,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00088_8.jpg
1726,A00089,"Burne-Jones, Sir Edward Coley, Bt",68,Nude Study of Knight for 'The Merciful Knight',c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 203 x 190 mm,203,190,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00089_8.jpg
1727,A00090,"Burne-Jones, Sir Edward Coley, Bt",68,"Study of a Seated Male Nude for 'The Liberation of St Peter' in the Church of St Michael and All Angels, Lyndhurst, Hampshire",c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 168 x 127 mm,168,127,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00090_8.jpg
1728,A00091,"Burne-Jones, Sir Edward Coley, Bt",68,"Two Studies of a Seated Male Nude for 'The Liberation of St Peter' in the Church of St Michael and All Angels, Lyndhurst, Hampshire",c.1863,Bequeathed by J.R. Holliday 1927,1863,support: 179 x 335 mm,179,335,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00091_8.jpg
1729,A00092,"Burne-Jones, Sir Edward Coley, Bt",68,Study for 'Blind Love',,Bequeathed by J.R. Holliday 1927,,support: 302 x 140 mm,302,140,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00092_8.jpg
1730,A00093,"Burne-Jones, Sir Edward Coley, Bt",68,Study for 'Blind Love',,Bequeathed by J.R. Holliday 1927,,support: 311 x 133 mm,311,133,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00093_8.jpg
1731,A00094,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Male Figure for 'Clerk Saunders',c.1861,Bequeathed by J.R. Holliday 1927,1861,support: 297 x 148 mm,297,148,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00094_8.jpg
1732,A00095,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Seated Woman for 'The Hours',c.1866,Bequeathed by J.R. Holliday 1927,1866,support: 478 x 264 mm,478,264,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00095_8.jpg
1733,A00096,"Burne-Jones, Sir Edward Coley, Bt",68,Study of a Reclining Figure,,Bequeathed by J.R. Holliday 1927,,support: 105 x 152 mm,105,152,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00096_8.jpg
1734,A00097,"Burne-Jones, Sir Edward Coley, Bt",68,Head of a Girl,c.1861,Bequeathed by J.R. Holliday 1927,1861,support: 186 x 140 mm,186,140,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00097_8.jpg
1735,A00098,"Burne-Jones, Sir Edward Coley, Bt",68,Two Studies for the Head of the King in 'King Cophetua and the Beggar Maid',c.1880,Bequeathed by J.R. Holliday 1927,1880,support: 152 x 162 mm,152,162,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00098_8.jpg
1736,A00099,"Burne-Jones, Sir Edward Coley, Bt",68,Head of a Woman: ?Georgiana Burne-Jones,c.1861,Bequeathed by J.R. Holliday 1927,1861,support: 140 x 166 mm,140,166,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00099_8.jpg
20230,A00100,"Burne-Jones, Sir Edward Coley, Bt",68,Study of Heads for a Pietà,,Bequeathed by J.R. Holliday 1927,,support: 136 x 154 mm,136,154,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00100_8.jpg
1737,A00101,"Burne-Jones, Sir Edward Coley, Bt",68,Head of a Girl,,Bequeathed by J.R. Holliday 1927,,support: 159 x 117 mm,159,117,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00101_8.jpg
1738,A00102,"Burne-Jones, Sir Edward Coley, Bt",68,Figure Study,,Bequeathed by J.R. Holliday 1927,,support: 114 x 149 mm,114,149,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00102_8.jpg
1739,A00103,"Burne-Jones, Sir Edward Coley, Bt",68,Study of the Head of a Female Attendant for 'The Adoration of the Kings',c.1861,Bequeathed by J.R. Holliday 1927,1861,support: 154 x 142 mm,154,142,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00103_8.jpg
20231,A00104,"Burne-Jones, Sir Edward Coley, Bt",68,Study of Iseult for 'The Marriage of Sir Tristram'. Verso: Figure of Sir Tristram,c.1862,Bequeathed by J.R. Holliday 1927,1862,support: 293 x 146 mm,293,146,,mm,,http://www.tate.org.uk/art/images/work/A/A00/A00104_8.jpg
