id,accession_number,artist,artistId,title,dateText,creditLine,year,dimensions,width,height,depth,units,inscription,thumbnailUrl
97542,AR00293,"Warhol, Andy",2121,Cadaver,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,object: 803 x 694 mm,803,694,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00293_8.jpg
97543,AR00294,"Warhol, Andy",2121,Venus in Shell,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,object: 700 x 542 mm,700,542,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00294_8.jpg
97545,AR00295,"Warhol, Andy",2121,Sunday Brunch,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,support: 539 x 694 mm,539,694,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00295_8.jpg
97548,AR00296,"Warhol, Andy",2121,No Parking,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,support: 539 x 694 mm,539,694,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00296_8.jpg
97549,AR00297,"Warhol, Andy",2121,Trash Cans,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,support: 698 x 543 mm,698,543,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00297_8.jpg
97553,AR00298,"Warhol, Andy",2121,Male Nude,1987,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1987,unconfirmed: 711 x 559 mm,711,559,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00298_8.jpg
97550,AR00299,"Warhol, Andy",2121,Male Nude,1987,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1987,unconfirmed: 711 x 559 mm,711,559,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00299_8.jpg
97551,AR00300,"Warhol, Andy",2121,Male Nude,1987,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1987,"support: 695 x 540 mm
frame: 940 x 768 x 20 mm",695,540,,mm,,
97552,AR00301,"Warhol, Andy",2121,Male Nude,1987,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1987,support: 696 x 540 mm,696,540,,mm,,
97653,AR00302,"Warhol, Andy",2121,Self-Portrait in Dark Suit,1977-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,image: 94 x 72 mm,94,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00302_8.jpg
97671,AR00303,"Warhol, Andy",2121,Self-Portrait in Interview T-shirt,1977-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,image: 95 x 72 mm,95,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00303_8.jpg
97672,AR00304,"Warhol, Andy",2121,Self-Portrait in Blue Shirt,1977-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,image: 93 x 73 mm,93,73,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00304_8.jpg
97673,AR00305,"Warhol, Andy",2121,Self-Portrait with Hand to Cheek,1977-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,image: 96 x 72 mm,96,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00305_8.jpg
97674,AR00306,"Warhol, Andy",2121,Self-Portrait in Dark Suit and Plaid Shirt,1981,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1981,image: 95 x 72 mm,95,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00306_8.jpg
97675,AR00307,"Warhol, Andy",2121,Self-Portrait in a Dark Suit and Plaid Shirt,1981,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1981,image: 95 x 72 mm,95,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00307_8.jpg
97676,AR00308,"Warhol, Andy",2121,Self-Portrait with Platinum Bouffant Wig,1981,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1981,image: 95 x 73 mm,95,73,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00308_8.jpg
97677,AR00309,"Warhol, Andy",2121,Self-Portrait with Reddish Blonde Wig,1981,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1981,image: 95 x 73 mm,95,73,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00309_8.jpg
97678,AR00310,"Warhol, Andy",2121,Self-Portrait with Platinum Pageboy Wig,1981,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1981,image: 95 x 72 mm,95,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00310_8.jpg
97679,AR00311,"Warhol, Andy",2121,Self-Portrait in Profile with Shadow,1981,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1981,image: 72 x 95 mm,72,95,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00311_8.jpg
