id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,totalWorks
651,"Anquetin, Louis",Male,1861-1932,1861,1932,"Eure, France","Paris, France",3
652,"Anrep, Boris",Male,1883-1969,1883,,"Sankt-Peterburg, Rossiya",,2
13677,"Ansarinia, Nazgol",Female,born 1979,1979,,"Tehran, Îran",,1
10,"Ansdell, Richard",Male,1815-1885,1815,1885,"Liverpool, United Kingdom","London, United Kingdom",1
12475,"Anselmo, Giovanni",Male,born 1934,1934,,"Piemonte, Italia",,2
15135,"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)",Male,,,,,,1
11604,"Antin, Eleanor",Female,born 1935,1935,,"New York, United States",,1
653,"Anuszkiewicz, Richard",Male,born 1930,1930,,"Erie, United States",,1
10241,"Apóstol, Alexander",Male,born 1969,1969,,"Barquisimeto, Venezuela",,3
654,"Appel, Karel",Male,1921-2006,1921,2006,"Amsterdam, Nederland","Zürich, Schweiz",7
655,"Appelbee, Leonard",Male,1914-2000,1914,,"Fulham, United Kingdom",,4
656,"Appleyard, Fred",Male,1874-1963,1874,1963,"Middlesbrough, United Kingdom","Hampshire, United Kingdom",1
2364,"Araeen, Rasheed",Male,born 1935,1935,,"Karachi, Pakistan",,13
657,"Arakawa, Shusaku",,1936-2010,1936,2010,"Nagoya, Nihon","New York, United States",2
2752,"Araki, Nobuyoshi",Male,born 1940,1940,,"Tokyo, Nihon",,2
10494,"Araujo, Juan",Male,born 1971,1971,,"Caracas, Venezuela",,4
5271,"Arbus, Diane",Female,1923-1971,1923,1971,"New York, United States","New York, United States",72
12604,"Arcangel, Cory",Male,born 1978,1978,,"Buffalo, United States",,1
658,"Archipenko, Alexander",Male,1887-1964,1887,1964,"Kiyev, Ukrayina","New York, United States",1
659,"Ardizzone, Edward",Male,1900-1979,1900,1979,"Hai Phìng, Viet Nam","Kent, United Kingdom",16
660,"Ardon, Mordecai",Male,1896-1992,1896,1992,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el",1
661,"Arikha, Avigdor",Male,1929-2010,1929,2010,"Radauti, România","Paris, France",9
662,Arman,Male,1928-2005,1928,,"Nice, France",,2
663,"Armfield, Maxwell Ashby",Male,1881-1972,1881,,"Ringwood, United Kingdom",,2
11,"Armitage, Edward",Male,1817-1896,1817,1896,"London, United Kingdom","Royal Tunbridge Wells, United Kingdom",1
664,"Armitage, Kenneth",Male,1916-2002,1916,,"Leeds, United Kingdom",,14
12,"Armstead, Henry Hugh",Male,1828-1905,1828,,"London, United Kingdom",,2
665,"Armstrong, John",Male,1893-1973,1893,,"Hastings, United Kingdom",,4
13,"Arnald, George",Male,1763-1841,1763,,"Berkshire, United Kingdom",,1
666,"Arnatt, Keith",Male,1930-2008,1930,,"Oxford, United Kingdom",,133
667,"Arp, Jean",Male,1886-1966,1886,1966,"Strasburg, Deutschland","Basel, Schweiz",9
16245,Art & Language (Harold Hurrell),Male,born 1940,,,,,1
16236,Art & Language (Ian Burn),Male,1939-1993,1939,,"Geelong, Australia",,1
16838,Art & Language (Michael Baldwin),Male,born 1945,,,,,1
2202,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)",,,,,,,8
17138,"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born",,established 1967/1968,,,,,1
668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)",,,,,,,12
2474,"Artaud, William",Male,1763-1823,1763,1823,"London, United Kingdom","London, United Kingdom",1
669,"Artschwager, Richard",Male,1923 - 2013,1923,,"Washington, United States",,6
670,"Askew, Victor",Male,1909-1974,1909,1974,"Rotherham, United Kingdom","Hertfordshire, United Kingdom",1
5229,"Ataman, Kutlug",Male,born 1961,1961,,"Istanbul, Türkiye",,1
6630,"Atay, Fikret",Male,born 1974,1974,,"Batman, Türkiye",,2
15601,"Atkins, Ed",Male,born 1982,1982,,United Kingdom,,1
14,"Atkins, Samuel",Male,active 1787-1808,,,,,1
671,"Atkinson, Conrad",Male,born 1940,1940,,"Cumbria, United Kingdom",,10
2412,"Atkinson, John Augustus",Male,1775-1830,1775,,"London, United Kingdom",,1
672,"Atkinson, Lawrence",Male,1873-1931,,,,,1
11829,"Atkinson, Terry",Male,born 1939,1939,,"Barnsley, United Kingdom",,1
673,"Atlan, Jean-Michel",Male,1913-1960,1913,1960,"Qacentina, Al-Jaza'ir","Paris, France",1
7639,Atlas Group,,established 1999,,,,,1
15557,"Atlas, Charles",Male,born 1958,1958,,"Saint Louis City, United States",,1
13674,"Attia, Kader",Male,born 1970,1970,,"Dugny, France",,3
674,"Atwood, Clare",Female,1866-1962,1866,1962,"Richmond, United Kingdom","Tenterden, United Kingdom",1
675,"Auerbach, Arnold",Male,1898-1978,1898,,"Liverpool, United Kingdom",,2
676,"Auerbach, Frank",Male,born 1931,1931,,"Berlin, Deutschland",,77
14648,"Augustyniak, Mathias",Male,born 1968,1968,,"Cavaillon, France",,5
15,"Aumonier, James",Male,1832-1911,,,,,2
2398,"Austen, David",Male,born 1960,1960,,"Harlow, United Kingdom",,11
677,"Austin, Robert",Male,1895-1973,1895,,"Leicester, United Kingdom",,4
