id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,totalWorks
16205,"Colone, Adam de",Male,?1572-1651,1572,,"Edinburgh, United Kingdom",,1
931,"Colquhoun, Ithell",Female,1906-1988,1906,,"Shillong, Bharat",,1
932,"Colquhoun, Robert",Male,1914-1962,1914,1962,"Kilmarnock, United Kingdom","London, United Kingdom",8
933,"Colton, William Robert",Male,1867-1921,1867,1921,"Paris, France","Kensington, United Kingdom",2
2270,"Colverson, Ian",Male,born 1940,1940,,"London, United Kingdom",,2
13197,"Colvin, Calum",Male,born 1961,1961,,"Glasgow, United Kingdom",,8
934,"Conder, Charles",Male,1868-1909,1868,1909,"London, United Kingdom","Virginia Water, United Kingdom",19
935,"Connard, Philip",Male,1875-1958,1875,1958,"Southport, United Kingdom","Twickenham, United Kingdom",7
936,"Consagra, Pietro",Male,1920-2005,1920,2005,"Mazara del Vallo, Italia","Milano, Italia",1
16340,"Consemüller, Erich",Male,1902-1957,1902,,Deutschland,,1
107,"Constable, George",Male,1792-1878,1792,1878,"Hampstead, United Kingdom","Saint John's Wood, United Kingdom",1
108,"Constable, John",Male,1776-1837,1776,1837,"Suffolk, United Kingdom","Hampstead, United Kingdom",259
109,"Constable, Lionel Bicknell",Male,1828-1887,1828,1887,"Hampstead, United Kingdom","London, United Kingdom",3
937,Constant,Male,1920-2005,1920,,"Amsterdam, Nederland",,2
938,"Cook, Barrie",Male,born 1929,1929,,"Birmingham, United Kingdom",,1
9357,"Cook, Richard",Male,born 1947,1947,,"Cheltenham, United Kingdom",,2
2487,"Cook, William, of Plymouth",Male,exhibited 1877-1879,,,,,1
110,"Cooke, Edward William",Male,1811-1880,1811,1880,"London, United Kingdom","Groombridge, United Kingdom",5
2603,"Cooke, Jean",Female,1927-2008,1927,,"London, United Kingdom",,1
6788,"Cooke, Nigel",Male,born 1973,1973,,"Manchester, United Kingdom",,2
111,"Cooper, Abraham",Male,1787-1868,1787,,"London, United Kingdom",,8
939,"Cooper, Austin",Male,1890-1964,1890,,"Manitoba, Canada",,3
2563,"Cooper, George",Male,exhibited 1792-1830,,,,,1
940,"Cooper, Gerald",Male,1899-1971,,,,,1
2419,"Cooper, Richard, Junior",Male,c.1740-c.1814,1740,,"Edinburgh, United Kingdom",,11
3807,"Cooper, Samuel",,1609-1672,,,,,1
4744,"Cooper, Thomas Joshua",Male,born 1946,1946,,"San Francisco, United States",,5
112,"Cooper, Thomas Sidney",Male,1803-1902,1803,,"Canterbury, United Kingdom",,6
2353,"Coplans, John",Male,1920-2003,1920,,"London, United Kingdom",,6
113,"Copley, John Singleton",Male,1738-1815,1738,,"Boston, United States",,7
941,"Copley, William N.",Male,1919-1996,1919,,"New York, United States",,1
15617,"Coppola, Horacio",Male,1906-2012,1906,2012,"La Plata, Argentina","Buenos Aires, Argentina",1
114,"Corbet, Matthew Ridley",Male,1850-1902,1850,1902,"Lincolnshire, United Kingdom","Saint John's Wood, United Kingdom",2
2488,"Corbould, Richard",Male,1757-1831,1757,1831,"London, United Kingdom","London, United Kingdom",2
2392,"Cordell, Magda",Female,1921- 2008,1921,2008,Magyarország,"Buffalo, United States",2
942,"Cordery, Don",Male,born 1942,1942,,"Hampshire, United Kingdom",,3
943,"Corinth, Lovis",Male,1858-1925,1858,1925,"Gvardeysk, Rossiya","Zandvoort, Nederland",2
944,"Corker, Douglas",Male,1939 - 2012,1939,,"London, United Kingdom",,1
945,"Corneille, Guillaume",Male,born 1922,1922,,"Liège, België",,1
946,"Cornell, Joseph",Male,1903-1972,1903,1972,"Nyack, United States","Flushing, United States",1
2315,"Cosway, Richard",Male,1742-1821,1742,1821,"Devon, United Kingdom","London, United Kingdom",2
115,"Cotes, Francis",Male,1726-1770,1726,1770,"London, United Kingdom","London, United Kingdom",5
2710,"Cotman, John Joseph",Male,1814-1878,1814,1878,"Great Yarmouth, United Kingdom","Norwich, United Kingdom",2
116,"Cotman, John Sell",Male,1782-1842,1782,1842,"Norwich, United Kingdom","London, United Kingdom",93
2489,"Cotman, Miles Edmund",Male,1810-1858,,1858,,"Norwich, United Kingdom",2
947,"Cottingham, Robert",Male,born 1935,1935,,"Brooklyn, United States",,3
948,"Couderc, Gabriel",Male,1905-1994,1905,,"Sète, France",,1
6245,"Coventry, Keith",Male,born 1958,1958,,"Burnley, United Kingdom",,4
949,"Cowie, James",Male,1886-1956,1886,1956,"Cuminestown, United Kingdom","Edinburgh, United Kingdom",1
950,"Cowper, Frank Cadogan",Male,1877-1958,1877,1958,"Wickham, United Kingdom","Cirencester, United Kingdom",2
117,"Cox, David",Male,1783-1859,1783,1859,"Birmingham, United Kingdom",Birmingham,60
951,"Cox, Stephen",Male,born 1946,1946,,"Bristol, United Kingdom",,14
952,"Coxon, Raymond",Male,1896-1997,1896,,"Hanley, United Kingdom",,2
118,"Cozens, Alexander",Male,1717-1786,1717,1786,Rossiya,"London, United Kingdom",237
119,"Cozens, John Robert",Male,1752-1797,1752,1797,"London, United Kingdom","London, United Kingdom",16
2291,"Cradock, Marmaduke",Male,1660-1717,1660,1717,"Somerset, United Kingdom","London, United Kingdom",1
953,"Cragg, Tony",Male,born 1949,1949,,"Liverpool, United Kingdom",,13
954,"Craig, Frank",Male,1874-1918,1874,,"Kent, United Kingdom",,1
955,"Craig-Martin, Michael",Male,born 1941,1941,,"Dublin, Éire",,23
120,"Cranch, John",Male,1751-1821,1751,1821,"Kingsbridge, United Kingdom","Bath, United Kingdom",1
121,"Crane, Walter",Male,1845-1915,1845,1915,"Liverpool, United Kingdom","Horsham, United Kingdom",1
956,"Crawford, Susan",Female,born 1941,1941,,"East Lothian, United Kingdom",,1
957,"Crawhall, Joseph",Male,1861-1913,1861,1913,"Morpeth, United Kingdom","London, United Kingdom",1
958,"Craxton, John",Male,1922-2009,1922,,"London, United Kingdom",,7
959,"Cree, Janet",Female,1910-1992,1910,,"London, United Kingdom",,1
2760,"Creed, Martin",Male,born 1968,1968,,"Wakefield, United Kingdom",,13
2262,"Creffield, Dennis",Male,born 1931,1931,,"London, United Kingdom",,8
122,"Creswick, Thomas",Male,1811-1869,1811,1869,"Sheffield, United Kingdom","London, United Kingdom",2
960,"Crippa, Roberto",Male,1921-1972,1921,1972,"Monza, Italia","Bresso, Italia",1
11952,"Crisp, Fiona",Female,born 1966,1966,,"Derbyshire, United Kingdom",,1
123,"Cristall, Joshua",Male,1767 or 8-1847,1767,1847,"Camborne, United Kingdom","London, United Kingdom",85
961,"Critchlow, Keith",Male,born 1933,1933,,United Kingdom,,1
126,"Crome, John",Male,1768-1821,1768,1821,"Norwich, United Kingdom","Norwich, United Kingdom",13
125,"Crome, John Berney",Male,1794-1842,1794,1842,"Norwich, United Kingdom","Great Yarmouth, United Kingdom",1
2357,"Cross, Dorothy",Female,born 1956,1956,,"Cork, Éire",,1
2490,"Crotch, Dr William",Male,1775-1847,1775,1847,"Norwich, United Kingdom","Taunton, United Kingdom",3
962,"Crotti, Jean",Male,1878-1958,1878,1958,"Bulle, Schweiz","Paris, France",1
2420,"Crowe, Eyre",Male,1824-1910,1824,1910,"London, United Kingdom","London, United Kingdom",1
17450,"Crozier, William",Male,1930 - 2011,1930,,"Glasgow, United Kingdom",,1
127,"Cruikshank, George",Male,1792-1878,1792,1878,"London, United Kingdom","London, United Kingdom",2
963,"Crutchfield, William",Male,born 1932,1932,,"Indianapolis, United States",,10
964,"Cruz-Diez, Carlos",Male,born 1923,1923,,"Caracas, Venezuela",,2
13142,"Cruzvillegas, Abraham",Male,born 1968,1968,,"Ciudad de México, México",,18
2215,"Cucchi, Enzo",Male,born 1949,1949,,Italia,,1
11699,"Cuevas, Minerva",Female,born 1975,,,,,1
2421,"Cuitt, George, Junior",Male,1779-1854,1779,1854,"England, United Kingdom","England, United Kingdom",2
965,"Cuixart, Modestos",Male,born 1925,1925,,"Barcelona, España",,1
12042,"Cullen, Martin",Male,born 1967,1967,,"England, United Kingdom",,6
128,"Cumberland, George",Male,1754-1849,1754,1849,"London, United Kingdom","Bristol, United Kingdom",1
966,"Cundall, Charles",Male,1890-1971,1890,1971,"Stretford, United Kingdom","Chelsea, United Kingdom",2
967,"Cundell, Nora L.M.",Female,1889-1948,1889,1948,"London, United Kingdom","London, United Kingdom",1
8786,"Cunha, Alexandre da",Male,born 1969,1969,,Brasil,,2
11820,"Curlet, François",Male,born 1967,,,,,1
968,"Currie, John S.",Male,c.1884-1914,1884,1914,"England, United Kingdom",Chelsea,1
7462,"Currie, Ken",Male,born 1960,1960,,"Northumberland, United Kingdom",,2
2694,"Currin, John",Male,born 1962,1962,,"Boulder, United States",,10
2736,"Curtis, Layla",Female,born 1975,1975,,United Kingdom,,1
969,"Cutts, Simon",Male,born 1944,1944,,United Kingdom,,1
14581,"Cytter, Keren",Female,born 1977,1977,,Yisra'el,,1
2636,"Dacre, Lady",Female,,,,,,1
14983,Dadamaino,Female,1935-2004,1935,,"Milano, Italia",,2
129,"Dadd, Frank",Male,1851-1929,1851,1929,"London, United Kingdom","Teignmouth, United Kingdom",1
130,"Dadd, Richard",Male,1817-1886,1817,1886,"Chatham, United Kingdom","Berkshire, United Kingdom",8
970,"Daglish, Peter",Male,born 1930,1930,,"Gillingham, United Kingdom",,3
2292,"Dahl, Michael",Male,1659-1743,1659,1743,"Stockholm, Sverige","London, United Kingdom",1
971,"Dalí, Salvador",Male,1904-1989,1904,1989,"Figueras, España","Figueras, España",6
131,"Dall, Nicholas Thomas",Male,active 1748-1776,1748,1776,Danmark,"London, United Kingdom",2
973,"Dalou, Jules",Male,1838-1902,1838,1902,"Paris, France","Paris, France",1
2422,"Dalton, Richard",Male,1715 or 20-1791,1715,,"Whitehaven, United Kingdom",,1
4611,"Dalwood, Dexter",Male,born 1960,1960,,"Bristol, United Kingdom",,2
974,"Dalwood, Hubert",Male,1924-1976,1924,,"Bristol, United Kingdom",,5
133,"Dalziel, Edward",Male,1817-1905,1817,1905,"Wooler, United Kingdom","Hampstead, United Kingdom",1
132,"Dalziel, Edward Gurden",Male,1849-1888,1849,,"London, United Kingdom",,2
134,"Dalziel, Thomas",Male,1823-1906,1823,1906,"Wooler, United Kingdom","Herne Bay, United Kingdom",1
2553,"Damer, Anne Seymour",Female,1748-1828,1748,1828,"Sundridge, United Kingdom","London, United Kingdom",1
135,"Danby, Francis",Male,1793-1861,1793,1861,"Wexford, Éire","Exmouth, United Kingdom",7
2423,"Dance, George",Male,1741-1825,1741,1825,"London, United Kingdom","London, United Kingdom",26
136,"Dance-Holland, Sir Nathaniel",Male,1735-1811,1735,1811,"London, United Kingdom","Winchester, United Kingdom",170
137,"Daniell, Thomas",Male,1749-1840,1749,1840,"Chertsey, United Kingdom","London, United Kingdom",5
138,"Daniell, William",Male,1769-1837,1769,1837,"Chertsey, United Kingdom","London, United Kingdom",612
975,"Daniels, Harvey",Male,born 1936,1936,,"London, United Kingdom",,1
7349,"Daniëls, René",Male,born 1950,1950,,"Eindhoven, Nederland",,3
12114,"Dant, Adam",Male,born 1967,1967,,"Cambridge, United Kingdom",,1
976,"Darboven, Hanne",Female,1941-2009,1941,2009,"München, Deutschland","Hamburg, Deutschland",1
2241,"D'Arcangelo, Allan",Male,born 1930,1930,,"Buffalo, United States","New York, United States",4
2267,"Davenport, Ian",Male,born 1966,1966,,"Sidcup, United Kingdom",,2
2295,"Davey, Grenville",Male,born 1961,1961,,"Launceston, United Kingdom",,12
14881,"Davey, Moyra",Female,born 1958,1958,,"Toronto, Canada",,1
978,"David, Allen",Male,born 1926,1926,,"Bombay, Bharat",,4
8314,"David, Enrico",Male,born 1966,1966,,"Ancona, Italia",,3
13353,"Davidson, Bruce",Male,born 1933,1933,,"Oak Park, United States",,47
979,"Davie, Alan",Male,born 1920,1920,,"Grangemouth, United Kingdom",,25
980,"Davies, John",Male,born 1946,1946,,"Cheshire, United Kingdom",,5
2667,"Davies, Peter",Male,born 1970,1970,,"Edinburgh, United Kingdom",,1
2491,"Davis, Edward Thompson, of Worcester",Male,1833-1867,1833,1867,"Worcester, United Kingdom","Roma, Italia",1
981,"Davis, Gene",Male,1920-1985,1920,1985,"Washington, United States","Washington, United States",1
139,"Davis, Henry William Banks",Male,1833-1914,1833,,"London, United Kingdom",,3
140,"Davis, John Scarlett",Male,1804-1845,1804,1845,"Leominster, United Kingdom","London, United Kingdom",104
2285,"Davis, Lady",Female,1866-1941,1866,1941,"London, United Kingdom","Romsey, United Kingdom",1
982,"Davis, Ron",Male,born 1937,1937,,"Santa Monica, United States",,1
2381,"Davis, Stuart",Male,1894-1964,1894,1964,"Philadelphia, United States","New York, United States",1
141,"Davis, William",Male,1812-1873,1812,1873,"Dublin, Éire","London, United Kingdom",1
983,"Davison, Francis",Male,1919-1984,1919,,"London, United Kingdom",,1
142,"Dawe, George",Male,1781-1829,1781,1829,London,"Greater London, United Kingdom",2
984,"Daws, Lawrence",Male,born 1927,1927,,"Adelaide, Australia",,4
143,"Dayes, Edward",Male,1763-1804,1763,1804,"London, United Kingdom","London, United Kingdom",47
734,"De Belleroche, Count Albert",Male,1864-1944,1864,1944,"Swansea, United Kingdom","Southwell, United Kingdom",1
902,"De Chirico, Giorgio",Male,1888-1978,1888,1978,"Vólos, Ellás","Roma, Italia",3
985,"De Francia, Peter",Male,1921-2012,1921,,"Paris, France",,14
2192,"De Glehn, Wilfred Gabriel",Male,1870-1951,1870,1951,"London, United Kingdom","Wiltshire, United Kingdom",1
1219,"De Grey, Sir Roger",Male,1918-1995,1918,1995,"Buckinghamshire, United Kingdom","London, United Kingdom",3
1385,"De Karlowska, Stanislawa",Female,1876-1952,1876,1952,Polska,"London, United Kingdom",3
145,"De Loutherbourg, Philip James",Male,1740-1812,1740,1812,"Basel, Schweiz","Chiswick, United Kingdom",91
1556,"De Maistre, Roy",Male,1894-1968,1894,1968,"Bowral, Australia","London, United Kingdom",5
2354,"De Monchaux, Cathy",Female,born 1960,1960,,"London, United Kingdom",,4
1850,"De Rivera, José",Male,1904-1985,1904,1985,"West Baton Rouge, United States","New York, United States",1
148,"De Wint, Peter",Male,1784-1849,1784,1849,"Stone, United Kingdom","London, United Kingdom",49
2492,"Deacon, James",Male,c.1710-1750,,,,,1
986,"Deacon, Richard",Male,born 1949,1949,,"Bangor, United Kingdom",,35
987,"Dean, Catherine",Female,1905-1983,1905,,"Liverpool, United Kingdom",,1
2675,"Dean, Tacita",Female,born 1965,1965,,"Canterbury, United Kingdom",,31
2282,"Deeble, W.",Male,active 1819,,,,,1
988,"Degas, Edgar",Male,1834-1917,1834,1917,"Paris, France","Paris, France",13
989,"Dehn, Adolf",Male,1895-1963,1895,1963,"Waterville, United States","New York, United States",1
990,"Dekkers, Ad",Male,1938-1974,1938,1974,"Zuid-Holland, Nederland","Gorinchem, Nederland",2
14771,"Delahaye, Luc",Male,born 1962,1962,,"Tours, France",,3
144,"Delamotte, William Alfred",Male,1775-1863,1775,1863,"Weymouth, United Kingdom","Oxford, United Kingdom",2
991,"DeLap, Tony",Male,born 1927,1927,,"Oakland, United States",,1
992,"Delaunay, Robert",Male,1885-1941,1885,1941,"Paris, France","Montpellier, France",3
993,"Delaunay, Sonia",Female,1885-1979,1885,1979,"Gradizhsk, Ukrayina","Paris, France",2
3034,"Deller, Jeremy",Male,born 1966,1966,,"London, United Kingdom",,5
994,"Delvaux, Paul",Male,1897-1994,1897,1994,België,Veurne,2
2641,"Demand, Thomas",Male,born 1964,1964,,"München, Deutschland",,2
995,"Demnig, Gunter",Male,born 1947,1947,,"Berlin, Deutschland",,1
2493,"Denham, John Charles",Male,exhibited 1796-1858,,,,,3
5669,"Deni, Viktor",,1893-1946,,,,,3
2598,"Denis, Dominic",Male,born 1963,1963,,"London, United Kingdom",,1
2647,"Denner, Balthasar",Male,1685-1749,1685,1749,"Altona, Deutschland","Rostock, Deutschland",1
2294,"Dennis, Jeffrey",Male,born 1958,1958,,"Colchester, United Kingdom",,1
997,"Denny, Robyn",Male,born 1930,1930,,"Abinger, United Kingdom",,85
2242,"Dentith, Henry",Male,born 1931,1931,,"Birmingham, United Kingdom",,1
998,"Derain, André",Male,1880-1954,1880,1954,"Chatou, France","Garches, France",7
146,"Des Granges, David",Male,1611 or 13-?1675,1611,,"London, United Kingdom",,1
999,"Desnoyer, François",Male,1894-1972,1894,1972,"Montauban, France","Perpignan, France",1
1000,"Despiau, Charles",Male,1874-1946,1874,1946,"Mont-de-Marsan, France","Paris, France",1
1001,"Devas, Anthony",Male,1911-1958,1911,1958,"Bromley, United Kingdom","London, United Kingdom",2
147,"Deverell, Walter Howell",Male,1827-1854,1827,1854,"Charlottesville, United States","London, United Kingdom",7
2223,"Devis, Anthony",Male,1729-1816,1729,1816,"Preston, United Kingdom","Surrey, United Kingdom",3
2799,"Devis, Arthur",Male,1711-1787,1711,1787,"Preston, United Kingdom","Brighton, United Kingdom",5
2542,"Devoto, John",Male,active 1708-?1752,,,,,1
6327,"di Suvero, Mark",Male,born 1933,1933,,"Shanghai, Zhonghua",,1
6218,"Diaz Morales, Sebastian",Male,born 1975,1975,,"Comodoro Rivadavia, Argentina",,1
1002,"Dibbets, Jan",Male,born 1941,1941,,"Weert, Nederland",,3
1003,"Dick, Sir William Reid",Male,1878-1961,1878,1961,"Glasgow, United Kingdom","London, United Kingdom",7
2645,"Dickenson, Mark",Male,born 1972,,,,,1
149,"Dicksee, Sir Frank",Male,1853-1928,1853,1928,"London, United Kingdom","London, United Kingdom",2
1004,"Diebenkorn, Richard",Male,1922-1993,1922,1993,"Portland, United States","Berkeley, United States",1
12631,"Dietman, Erik",Male,1937 - 2002,1937,2002,"Jönköping, Sverige","Paris, France",1
150,"Dighton, William Edward",Male,1822-1853,,1853,,"Hampstead, United Kingdom",1
2666,"Dijkstra, Rineke",Female,born 1959,1959,,"Sittard, Nederland",,7
1005,"Dillon, Michael",Male,born 1941,,,,,2
1006,"Dilworth, Norman",Male,born 1931,1931,,"Wigan, United Kingdom",,4
1007,"Dimitrienko, Pierre",Male,1925-1974,1925,1974,"Paris, France","Paris, France",1
1008,"Dimitrijevic, Braco",Male,born 1948,1948,,"Sarajevo, Bosna i Hercegovina",,10
1009,"Dine, Jim",Male,born 1935,1935,,"Cincinnati, United States",,42
1010,"Dinkel, Ernest M.",Male,1894-1983,1894,,"Huddersfield, United Kingdom",,1
2789,"Dion, Mark",Male,born 1961,1961,,"New Bedford, United States",,14
1011,"Disler, Martin",Male,1949-1996,1949,1996,"Solothurn, Schweiz","Genève, Schweiz",12
1012,"Dismorr, Jessica",Female,1885-1939,1885,,"Gravesend, United Kingdom",,2
6758,"Dittborn, Eugenio",Male,born 1943,1943,,"Santiago, Chile",,2
1013,"Dixon, Harry",Male,1861-1942,1861,1942,"Watford, United Kingdom","Finchley, United Kingdom",1
151,"Dixon, William",Male,?1784 or 5-c.1834,,,,,2
1014,"Dobson, Frank",Male,1888-1963,1888,1963,"London, United Kingdom","London, United Kingdom",16
153,"Dobson, William",Male,1611-1646,1611,1646,"London, United Kingdom","London, United Kingdom",3
152,"Dobson, William Charles Thomas",Male,1817-1898,,,,,1
1015,"Dodd, Francis",Male,1874-1949,1874,1949,"Holyhead, United Kingdom","Blackheath, United Kingdom",6
1016,"Dodgson, John",Male,1890-1969,1890,,"Murree, Pakistan",,8
1017,"Doesburg, Theo van",Male,1883-1931,1883,1931,"Utrecht, Nederland","Davos, Schweiz",1
2732,"Doherty, Willie",Male,born 1959,1959,,"Derrybrien, Éire",,7
2361,"Doig, Peter",Male,born 1959,1959,,"Edinburgh, United Kingdom",,42
1018,"Domjan, Joseph",Male,1907-1992,1907,,Magyarország,,10
1019,"Donagh, Rita",Female,born 1939,1939,,"Wednesbury, United Kingdom",,8
154,"Donaldson, Andrew Brown",Male,1840-1919,1840,,"London, United Kingdom",,1
1020,"Donaldson, Antony",Male,born 1939,1939,,"Godalming, United Kingdom",,2
8143,"Donnelly, Trisha",Female,born 1974,1974,,"San Francisco, United States",,2
1021,"Dorazio, Piero",Male,1927-2005,1927,,"Roma, Italia",,1
1022,"Dörflinger, Johannes",Male,born 1941,1941,,"Konstanz, Deutschland",,5
2589,"Doron, Itai",Male,born 1967,1967,,"Tel Aviv-Yafo, Yisra'el",,1
2208,"D'Orsay, Count Alfred",Male,1801-1852,,,,,1
1023,"Dotremont, Christian",Male,1922-1979,1922,,België,,1
1024,"Dottori, Gerardo",Male,1884-1977,1884,1977,"Perugia, Italia","Perugia, Italia",1
1025,"Doubleday, John",Male,born 1947,1947,,"Maldon, United Kingdom",,1
155,"Doughty, William",Male,1757-1782,1757,1782,"York, United Kingdom","Lisboa, Portugal",1
156,"Douglas, Edwin",Male,1848-1914,1848,1914,"Edinburgh, United Kingdom","Sussex, United Kingdom",1
157,"Douglas, Sir William Fettes",Male,1822-1891,1822,1891,"Edinburgh, United Kingdom","Newburgh, United Kingdom",1
3038,"Douglas, Stan",Male,born 1960,1960,,"Vancouver, Canada",,22
1026,"Dova, Gianni",Male,1925-1991,1925,1991,"Roma, Italia","Pisa, Italia",2
158,"Downard, Ebenezer Newman",Male,active 1849-1889,1849,,"Brighton, United Kingdom",,1
13086,"Downey, Juan",,1940-1993,,,,,1
159,"Downman, John",Male,1750-1824,1750,1824,"Ruabon, United Kingdom","Wrexham, United Kingdom",35
1027,"Downsbrough, Peter",Male,born 1940,1940,,"New York, United States",,1
2350,"Downton, John",Male,1906-1991,1906,,"Kent, United Kingdom",,3
1028,"Doyle, John",Male,born 1928,,,,,1
160,"Doyle, John",Male,1797-1868,1797,1868,"Dublin, Éire","London, United Kingdom",1
2424,"Doyle, Richard",Male,1824-1883,1824,1883,"London, United Kingdom","London, United Kingdom",1
1029,"Draper, Herbert",Male,1863-1920,1863,1920,"London, United Kingdom","London, United Kingdom",1
161,"Dressler, Conrad",Male,1856-1940,1856,1940,"London, United Kingdom","Loire, France",1
1030,"Drever, Timothy",Male,born 1935,1935,,"England, United Kingdom",,1
17320,"Drew, Leonardo",Male,born 1961,1961,,"Tallahassee, United States",,1
1031,"Droungas, Achilles",Male,born 1940,1940,,"Piraiévs, Ellás",,3
8089,"Drtikol, Frantiek",Male,1883-1961,1883,1961,"Príbram, Ceská Republika","Praha, Ceská Republika",1
1032,"Drummond, Malcolm",Male,1880-1945,1880,,"Berkshire, United Kingdom",,2
163,"Drury, Alfred",Male,1856-1944,1856,1944,"London, United Kingdom","Wimbledon, United Kingdom",1
1033,"Drysdale, Russell",Male,1912-1981,1912,1981,"Bognor Regis, United Kingdom","Sydney, Australia",1
2679,"Du Bois, Simon",Male,1632-1708,1632,1708,"Antwerpen, België","London, United Kingdom",1
1034,"Dubsky, Mario",Male,1939-1985,1939,,"London, United Kingdom",,1
1035,"Dubuffet, Jean",Male,1901-1985,1901,1985,"Le Havre, France","Paris, France",19
1036,"Duchamp, Marcel",Male,1887-1968,1887,1968,"Blainville-Crevon, France","Neuilly-sur-Seine, France",11
1037,"Duchamp-Villon, Raymond",Male,1876-1918,1876,1918,"Damville, France","Cannes, France",2
1045,"Dufresne, Charles",Male,1876-1938,1876,1938,"Millemont, France","La Seyne-sur-Mer, France",1
1038,"Dufy, Raoul",Male,1877-1953,1877,1953,"Le Havre, France","Forcalquier, France",9
1039,"Dugdale, Thomas",Male,1880-1952,1880,1952,"Blackburn, United Kingdom","London, United Kingdom",1
1040,"Dugger, John",Male,born 1948,1948,,"Bellflower, United States",,1
2407,"Dumas, Marlene",Female,born 1953,1953,,"Cape Town, South Africa",,10
1041,"Dunbar, Evelyn",Female,1906-1960,1906,1960,"Reading, United Kingdom","Kent, United Kingdom",3
2284,"Duncombe, Susanna",Female,1725-1812,,1812,,"London, United Kingdom",76
2279,"Dunham, Carroll",Male,born 1949,1949,,"Old Lyme, United States",,28
2619,"Dunker, Balthazar Anton",Male,,1746,1807,"Saal, Deutschland","Berne, Deutschland",1
1042,"Dunlop, Ronald Ossory",Male,1894-1973,1894,,"London, United Kingdom",,3
1043,"Dunoyer de Segonzac, André",Male,1884-1974,1884,1974,"Boussy-Saint-Antoine, France","Paris, France",4
1044,"Dunstan, Bernard",Male,born 1920,1920,,"Middlesex, United Kingdom",,2
162,"Dupont, Gainsborough",Male,1754-1797,,1797,,"London, United Kingdom",2
9914,"Durant, Sam",Male,born 1961,1961,,"Seattle, United States",,1
11953,"Durham, Jimmie",Male,born 1940,1940,,"Arkansas, United States",,2
1046,"Durrant, Jennifer",Female,born 1942,1942,,"Brighton, United Kingdom",,2
1047,"Durst, Alan L.",Male,1883-1970,1883,,"Hampshire, United Kingdom",,3
164,"Dyce, William",Male,1806-1864,1806,1864,"Aberdeen, United Kingdom","Streatham, United Kingdom",9
6860,"Dzama, Marcel",Male,born 1974,1974,,"Winnipeg, Canada",,12
1048,"Dzamonja, Dusan",Male,1928-2009,1928,2009,"Strumica, Makedonija","Zagreb, Hrvatska",1
1049,"Eardley, Joan",Female,1921-1963,1921,,"West Sussex, United Kingdom",,1
16658,"Earnshaw, Anthony",Male,1924-2001,1924,2001,"Ilkley, United Kingdom","Saltburn-by-the-Sea, United Kingdom",1
165,"East, Sir Alfred",Male,1844-1913,1849,1913,"Kettering, United Kingdom","Kettering, United Kingdom",1
166,"Eastlake, Sir Charles Lock",Male,1793-1865,1793,1865,Plymouth,"England, United Kingdom",7
3096,"Edmier, Keith",Male,born 1967,1967,,"Chicago, United States",,2
167,"Edridge, Henry",Male,1769-1821,1769,1821,"London, United Kingdom","London, United Kingdom",9
168,"Edwards, Edwin",Male,1823-1879,1823,1879,"Framlingham, United Kingdom","London, United Kingdom",1
1050,"Edwards, Jeffery",Male,born 1945,,,,,5
2252,"Edwards, Sylvia",Female,born 1937,1937,,"Boston, United States",,2
169,"Egg, Augustus Leopold",Male,1816-1863,1816,1863,"London, United Kingdom","Alger, Al-Jaza'ir",5
170,"Egley, William Maw",Male,1826-1916,1826,,"London, United Kingdom",,1
1051,"Ehrlich, Georg",Male,1897-1966,1897,1966,"Wien, Österreich","Luzern, Schweiz",2
5239,"Eliasson, Olafur",Male,born 1967,1967,,"København, Danmark",,2
10751,"Elkoussy, Hala",Female,born 1974,1974,,"Al-Qahirah, Misr",,1
1053,"Elliott, Geoffrey",Male,born 1935,1935,,"Derbyshire, United Kingdom",,1
171,"Elmore, Alfred",Male,1815-1881,1815,,"Clonakilty, Éire",,1
16988,"El-Salahi, Ibrahim",Male,born 1930,1930,,As-Sudan,,1
8145,"Eluard, Nusch",Female,1906-1945,1906,1945,"Mulhouse, France","Paris, France",1
8147,"Eluard, Paul",Male,1895-1952,1895,1952,"Saint Denis-de-l'Hôtel, France","Charenton-le-Pont, France",1
1054,"Elwell, Frederick W.",Male,1870-1958,1870,,"Beverley, United Kingdom",,1
1055,"Elwyn, John",Male,1916-1997,1916,,"Newcastle Emlyn, United Kingdom",,2
1056,"Emanuel, Frank L.",Male,1865-1948,1865,1948,"London, United Kingdom","London, United Kingdom",1
1057,"Emett, Rowland",Male,1906-1990,1906,1990,"London, United Kingdom","Sussex, United Kingdom",1
1058,"Emilian, Céline",Female,1902-1981,1902,,"Paris, France",,1
2590,"Emin, Tracey",Female,born 1963,1963,,"London, United Kingdom",,26
14475,"Eneroth, Joakim",Male,born 1969,1969,,Sverige,,8
1059,"Engelbach, Florence",Female,1872-1951,1872,,"Jerez de la Frontera, España",,1
12112,"English, Simon",Male,born 1959,,,,,1
1060,"Ensor, James",Male,1860-1949,1860,1949,"Oostende, België","Oostende, België",1
13597,"Epstein, Mitch",Male,born 1952,1952,,"Holyoke, United States",,4
1061,"Epstein, Sir Jacob",Male,1880-1959,1880,1959,"New York, United States","London, United Kingdom",26
1062,"Erlanger, Rodolphe d'",Male,1872-1932,1872,1932,"Boulogne-Billancourt, France","Tunis, Tunis",1
